Exp,Round,Item,Condition,Item.Nr,sentences,role,id,partner_id,group_enumeration
0,1,011_2,11,2,"[['some', 'some, but not all'], ['some', 'none'], ['some', 'all']]",producer,1,2,1
0,1,110_2,110,2,"[['all', 'some'], ['some', 'all']]",producer,1,3,2
0,1,010_3,10,3,"[['some', 'all'], ['some', 'some']]",producer,1,4,3
0,1,100_3,100,3,"[['none', 'some, but not all'], ['some', 'all'], ['some', 'none']]",receiver,1,4,4
0,1,111_2,111,2,"[['all', 'some']]",receiver,1,3,5
0,1,001_3,1,3,"[['all', 'all']]",receiver,1,2,6
0,1,NA_x,NA,x,[],receiver,1,0,7
0,1,NA_x,NA,x,[],receiver,1,0,8
0,1,001_1,1,1,"[['some', 'some, but not all'], ['some', 'none'], ['none', 'all']]",producer,2,3,1
0,1,010_3,10,3,"[['some', 'some'], ['some', 'all'], ['none', 'none']]",producer,2,4,2
0,1,001_3,1,3,"[['all', 'all']]",producer,2,1,3
0,1,011_2,11,2,"[['some', 'some, but not all'], ['some', 'none'], ['some', 'all']]",receiver,2,1,4
0,1,011_2,11,2,"[['all', 'all']]",receiver,2,4,5
0,1,001_2,1,2,"[['none', 'none'], ['some', 'some'], ['some', 'all']]",receiver,2,3,6
0,1,NA_x,NA,x,[],receiver,2,0,7
0,1,NA_x,NA,x,[],receiver,2,0,8
0,1,100_2,100,2,"[['all', 'all']]",producer,3,4,1
0,1,111_2,111,2,"[['all', 'some']]",producer,3,1,2
0,1,001_2,1,2,"[['none', 'none'], ['some', 'some'], ['some', 'all']]",producer,3,2,3
0,1,001_1,1,1,"[['some', 'some, but not all'], ['some', 'none'], ['none', 'all']]",receiver,3,2,4
0,1,110_2,110,2,"[['all', 'some'], ['some', 'all']]",receiver,3,1,5
0,1,110_3,110,3,"[['all', 'some']]",receiver,3,4,6
0,1,NA_x,NA,x,[],receiver,3,0,7
0,1,NA_x,NA,x,[],receiver,3,0,8
0,1,100_3,100,3,"[['none', 'some, but not all'], ['some', 'all'], ['some', 'none']]",producer,4,1,1
0,1,011_2,11,2,"[['all', 'all']]",producer,4,2,2
0,1,110_3,110,3,"[['all', 'some']]",producer,4,3,3
0,1,100_2,100,2,"[['all', 'all']]",receiver,4,3,4
0,1,010_3,10,3,"[['some', 'some'], ['some', 'all'], ['none', 'none']]",receiver,4,2,5
0,1,010_3,10,3,"[['some', 'all'], ['some', 'some']]",receiver,4,1,6
0,1,NA_x,NA,x,[],receiver,4,0,7
0,1,NA_x,NA,x,[],receiver,4,0,8
0,2,010_1,10,1,"[['some', 'all'], ['some', 'none']]",producer,1,2,9
0,2,010_2,10,2,"[['all', 'all']]",producer,1,3,10
0,2,110_1,110,1,"[['all', 'all']]",producer,1,4,11
0,2,101_1,101,1,"[['some', 'all'], ['some', 'none']]",receiver,1,4,12
0,2,011_3,11,3,"[['some', 'some'], ['some', 'none'], ['some', 'all']]",receiver,1,3,13
0,2,010_2,10,2,"[['some', 'none'], ['some', 'some, but not all'], ['some', 'all']]",receiver,1,2,14
0,2,NA_x,NA,x,[],receiver,1,0,15
0,2,NA_x,NA,x,[],receiver,1,0,16
0,2,010_1,10,1,"[['some', 'all'], ['some', 'some']]",producer,2,3,9
0,2,111_2,111,2,"[['some', 'some'], ['some', 'none']]",producer,2,4,10
0,2,010_2,10,2,"[['some', 'none'], ['some', 'some, but not all'], ['some', 'all']]",producer,2,1,11
0,2,010_1,10,1,"[['some', 'all'], ['some', 'none']]",receiver,2,1,12
0,2,101_2,101,2,"[['some', 'none'], ['some', 'some']]",receiver,2,4,13
0,2,101_3,101,3,"[['none', 'any']]",receiver,2,3,14
0,2,NA_x,NA,x,[],receiver,2,0,15
0,2,NA_x,NA,x,[],receiver,2,0,16
0,2,011_2,11,2,"[['all', 'some']]",producer,3,4,9
0,2,011_3,11,3,"[['some', 'some'], ['some', 'none'], ['some', 'all']]",producer,3,1,10
0,2,101_3,101,3,"[['none', 'any']]",producer,3,2,11
0,2,010_1,10,1,"[['some', 'all'], ['some', 'some']]",receiver,3,2,12
0,2,010_2,10,2,"[['all', 'all']]",receiver,3,1,13
0,2,010_3,10,3,"[['all', 'all']]",receiver,3,4,14
0,2,NA_x,NA,x,[],receiver,3,0,15
0,2,NA_x,NA,x,[],receiver,3,0,16
0,2,101_1,101,1,"[['some', 'all'], ['some', 'none']]",producer,4,1,9
0,2,101_2,101,2,"[['some', 'none'], ['some', 'some']]",producer,4,2,10
0,2,010_3,10,3,"[['all', 'all']]",producer,4,3,11
0,2,011_2,11,2,"[['all', 'some']]",receiver,4,3,12
0,2,111_2,111,2,"[['some', 'some'], ['some', 'none']]",receiver,4,2,13
0,2,110_1,110,1,"[['all', 'all']]",receiver,4,1,14
0,2,NA_x,NA,x,[],receiver,4,0,15
0,2,NA_x,NA,x,[],receiver,4,0,16
0,3,110_3,110,3,"[['all', 'none']]",producer,1,2,17
0,3,001_3,1,3,"[['some', 'none'], ['some', 'all']]",producer,1,3,18
0,3,101_1,101,1,"[['none', 'any']]",producer,1,4,19
0,3,111_1,111,1,"[['some', 'none'], ['some', 'some, but not all'], ['none', 'all']]",receiver,1,4,20
0,3,101_2,101,2,"[['some', 'all'], ['some', 'some']]",receiver,1,3,21
0,3,100_2,100,2,"[['all', 'none']]",receiver,1,2,22
0,3,NA_x,NA,x,[],receiver,1,0,23
0,3,NA_x,NA,x,[],receiver,1,0,24
0,3,100_3,100,3,"[['all', 'some, but not all']]",producer,2,3,17
0,3,110_1,110,1,"[['all', 'all']]",producer,2,4,18
0,3,100_2,100,2,"[['all', 'none']]",producer,2,1,19
0,3,110_3,110,3,"[['all', 'none']]",receiver,2,1,20
0,3,010_2,10,2,"[['some', 'all'], ['some', 'none'], ['some', 'some']]",receiver,2,4,21
0,3,100_1,100,1,"[['some', 'all'], ['some', 'some']]",receiver,2,3,22
0,3,NA_x,NA,x,[],receiver,2,0,23
0,3,NA_x,NA,x,[],receiver,2,0,24
0,3,101_1,101,1,"[['all', 'some, but not all']]",producer,3,4,17
0,3,101_2,101,2,"[['some', 'all'], ['some', 'some']]",producer,3,1,18
0,3,100_1,100,1,"[['some', 'all'], ['some', 'some']]",producer,3,2,19
0,3,100_3,100,3,"[['all', 'some, but not all']]",receiver,3,2,20
0,3,001_3,1,3,"[['some', 'none'], ['some', 'all']]",receiver,3,1,21
0,3,111_3,111,3,"[['some', 'none'], ['none', 'all'], ['some', 'some, but not all']]",receiver,3,4,22
0,3,NA_x,NA,x,[],receiver,3,0,23
0,3,NA_x,NA,x,[],receiver,3,0,24
0,3,111_1,111,1,"[['some', 'none'], ['some', 'some, but not all'], ['none', 'all']]",producer,4,1,17
0,3,010_2,10,2,"[['some', 'all'], ['some', 'none'], ['some', 'some']]",producer,4,2,18
0,3,111_3,111,3,"[['some', 'none'], ['none', 'all'], ['some', 'some, but not all']]",producer,4,3,19
0,3,101_1,101,1,"[['all', 'some, but not all']]",receiver,4,3,20
0,3,110_1,110,1,"[['all', 'all']]",receiver,4,2,21
0,3,101_1,101,1,"[['none', 'any']]",receiver,4,1,22
0,3,NA_x,NA,x,[],receiver,4,0,23
0,3,NA_x,NA,x,[],receiver,4,0,24
0,4,101_3,101,3,"[['all', 'all']]",producer,1,2,25
0,4,011_3,11,3,"[['some', 'some, but not all'], ['all', 'some, and possibly all'], ['some', 'all']]",producer,1,3,26
0,4,011_1,11,1,"[['some', 'none'], ['none', 'all'], ['some', 'some, but not all']]",producer,1,4,27
0,4,011_3,11,3,"[['all', 'some, but not all']]",receiver,1,4,28
0,4,110_3,110,3,"[['none', 'any']]",receiver,1,3,29
0,4,110_3,110,3,"[['all', 'some']]",receiver,1,2,30
0,4,NA_x,NA,x,[],receiver,1,0,31
0,4,NA_x,NA,x,[],receiver,1,0,32
0,4,011_3,11,3,"[['all', 'all']]",producer,2,3,25
0,4,001_2,1,2,"[['some', 'none'], ['some', 'some, but not all'], ['some', 'all']]",producer,2,4,26
0,4,110_3,110,3,"[['all', 'some']]",producer,2,1,27
0,4,101_3,101,3,"[['all', 'all']]",receiver,2,1,28
0,4,110_2,110,2,"[['all', 'some']]",receiver,2,4,29
0,4,011_1,11,1,"[['all', 'some, but not all']]",receiver,2,3,30
0,4,NA_x,NA,x,[],receiver,2,0,31
0,4,NA_x,NA,x,[],receiver,2,0,32
0,4,110_1,110,1,"[['some', 'some'], ['some', 'none']]",producer,3,4,25
0,4,110_3,110,3,"[['none', 'any']]",producer,3,1,26
0,4,011_1,11,1,"[['all', 'some, but not all']]",producer,3,2,27
0,4,011_3,11,3,"[['all', 'all']]",receiver,3,2,28
0,4,011_3,11,3,"[['some', 'some, but not all'], ['all', 'some, and possibly all'], ['some', 'all']]",receiver,3,1,29
0,4,101_3,101,3,"[['some', 'none'], ['some', 'some']]",receiver,3,4,30
0,4,NA_x,NA,x,[],receiver,3,0,31
0,4,NA_x,NA,x,[],receiver,3,0,32
0,4,011_3,11,3,"[['all', 'some, but not all']]",producer,4,1,25
0,4,110_2,110,2,"[['all', 'some']]",producer,4,2,26
0,4,101_3,101,3,"[['some', 'none'], ['some', 'some']]",producer,4,3,27
0,4,110_1,110,1,"[['some', 'some'], ['some', 'none']]",receiver,4,3,28
0,4,001_2,1,2,"[['some', 'none'], ['some', 'some, but not all'], ['some', 'all']]",receiver,4,2,29
0,4,011_1,11,1,"[['some', 'none'], ['none', 'all'], ['some', 'some, but not all']]",receiver,4,1,30
0,4,NA_x,NA,x,[],receiver,4,0,31
0,4,NA_x,NA,x,[],receiver,4,0,32
0,5,111_3,111,3,"[['some', 'some, but not all'], ['some', 'none'], ['none', 'all']]",producer,1,2,33
0,5,111_1,111,1,"[['some', 'none'], ['some', 'some, but not all'], ['none', 'all']]",producer,1,3,34
0,5,001_2,1,2,"[['some', 'all'], ['all', 'some']]",producer,1,4,35
0,5,010_1,10,1,"[['some', 'some'], ['some', 'all']]",receiver,1,4,36
0,5,010_3,10,3,"[['some', 'all'], ['none', 'some, but not all'], ['some', 'none']]",receiver,1,3,37
0,5,111_3,111,3,"[['some', 'some'], ['some', 'none']]",receiver,1,2,38
0,5,NA_x,NA,x,[],receiver,1,0,39
0,5,NA_x,NA,x,[],receiver,1,0,40
0,5,111_1,111,1,"[['some', 'none'], ['none', 'some, but not all'], ['some', 'all']]",producer,2,3,33
0,5,011_1,11,1,"[['some', 'all'], ['some', 'some']]",producer,2,4,34
0,5,111_3,111,3,"[['some', 'some'], ['some', 'none']]",producer,2,1,35
0,5,111_3,111,3,"[['some', 'some, but not all'], ['some', 'none'], ['none', 'all']]",receiver,2,1,36
0,5,111_2,111,2,"[['none', 'none'], ['some', 'some'], ['some', 'all']]",receiver,2,4,37
